"age","workclass","fnlwgt","education","education_cat","marital_status","occupation","relationship","race","gender","capital_gain","capital_loss","hour_per_week","native_country","class"
"5699",51," Private",240988," 11th",7," Married-civ-spouse"," Machine-op-inspct"," Husband"," Asian-Pac-Islander"," Male",0,0,40," Philippines"," <=50K"
"22743",26," Private",90277," HS-grad",9," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,40," ?"," <=50K"
"18361",47," Private",198200," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
"9732",62," Private",159908," Some-college",10," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,38," United-States"," >50K"
"24068",38," Self-emp-inc",478829," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",99999,0,50," United-States"," >50K"
"10473",23," Private",231160," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Male",0,0,25," United-States"," <=50K"
"26647",48," Private",345831," Some-college",10," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"18078",32," Private",174789," HS-grad",9," Never-married"," Machine-op-inspct"," Unmarried"," White"," Male",0,0,40," United-States"," <=50K"
"12946",67," Self-emp-not-inc",106143," Doctorate",16," Married-civ-spouse"," Sales"," Husband"," White"," Male",20051,0,40," United-States"," >50K"
"29039",28," Local-gov",154863," 9th",5," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",0,0,40," Trinadad&Tobago"," >50K"
"14408",36," Local-gov",192337," HS-grad",9," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"3094",48," Self-emp-inc",193188," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"14492",61," Federal-gov",136787," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"30639",25," Self-emp-inc",181691," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," ?"," <=50K"
"28807",35," Self-emp-not-inc",335704," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"13555",39," Private",164866," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,42," United-States"," >50K"
"27076",40," Self-emp-not-inc",26892," Bachelors",13," Married-AF-spouse"," Prof-specialty"," Husband"," White"," Male",7298,0,50," United-States"," >50K"
"9351",51," State-gov",77905," Assoc-voc",11," Divorced"," Prof-specialty"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
"24841",46," Self-emp-inc",285335," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," United-States"," >50K"
"24919",31," Federal-gov",113688," HS-grad",9," Never-married"," Machine-op-inspct"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
"12044",39," Private",188540," HS-grad",9," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,0,45," United-States"," <=50K"
"11878",38," Private",54816," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"20092",27," State-gov",23740," HS-grad",9," Never-married"," Transport-moving"," Not-in-family"," Amer-Indian-Eskimo"," Male",0,0,38," United-States"," >50K"
"26819",25," Private",202033," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"20437",47," ?",186805," HS-grad",9," Married-civ-spouse"," ?"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
"16070",44," Private",124924," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," Mexico"," <=50K"
"4631",30," Private",142675," 12th",8," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
"19070",55," Federal-gov",31728," Some-college",10," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,40," United-States"," >50K"
"1306",37," Private",32668," Bachelors",13," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,43," United-States"," >50K"
"15508",47," Private",339863," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,45," United-States"," >50K"
"23012",47," Self-emp-inc",186410," Prof-school",15," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,60," United-States"," >50K"
"23459",24," Private",73928," Assoc-voc",11," Never-married"," Adm-clerical"," Own-child"," Asian-Pac-Islander"," Female",0,0,20," United-States"," <=50K"
"1964",49," Private",268022," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," United-States"," >50K"
"13768",42," Private",424855," Some-college",10," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",3908,0,40," United-States"," <=50K"
"15578",40," Local-gov",63042," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,40," United-States"," >50K"
"8408",31," Private",255004," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,1741,38," United-States"," <=50K"
"18630",43," Self-emp-not-inc",182217," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,35," United-States"," <=50K"
"22892",23," Private",376416," HS-grad",9," Never-married"," Transport-moving"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"22199",43," Private",151089," Some-college",10," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
"3624",31," Private",247328," 9th",5," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",3137,0,40," Mexico"," <=50K"
"17891",34," Private",324254," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"24827",39," State-gov",183092," Doctorate",16," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States"," >50K"
"7211",63," Private",135339," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," Asian-Pac-Islander"," Male",2105,0,40," Vietnam"," <=50K"
"22546",65," ?",174904," HS-grad",9," Separated"," ?"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
"26066",39," Private",245053," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States"," >50K"
"3697",23," Private",407684," 9th",5," Never-married"," Machine-op-inspct"," Other-relative"," White"," Female",0,0,40," Mexico"," <=50K"
"29825",18," Private",215110," HS-grad",9," Never-married"," Handlers-cleaners"," Own-child"," Black"," Male",0,0,40," United-States"," <=50K"
"23256",41," Self-emp-not-inc",174395," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",15024,0,55," United-States"," >50K"
"25218",45," Local-gov",160187," HS-grad",9," Married-spouse-absent"," Adm-clerical"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
"5907",48," Private",186203," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
"808",33," Private",169879," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",3103,0,47," United-States"," >50K"
"26861",52," Private",156953," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"28582",19," Private",96483," HS-grad",9," Never-married"," Other-service"," Own-child"," Asian-Pac-Islander"," Female",0,0,40," United-States"," <=50K"
"4280",46," Private",215943," HS-grad",9," Divorced"," Prof-specialty"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
"14852",17," Self-emp-inc",413557," 9th",5," Never-married"," Sales"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
"14395",43," Local-gov",209544," Masters",14," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",10520,0,50," United-States"," >50K"
"21770",31," Private",36069," HS-grad",9," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,35," United-States"," <=50K"
"2039",49," State-gov",213307," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"22790",35," Private",174308," Some-college",10," Never-married"," Transport-moving"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"12309",26," Private",175789," HS-grad",9," Divorced"," Handlers-cleaners"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
"14347",46," Local-gov",124071," Masters",14," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,65," United-States"," >50K"
"22547",45," Private",102559," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," Canada"," >50K"
"14611",24," Private",295763," Bachelors",13," Never-married"," Exec-managerial"," Own-child"," White"," Female",0,0,50," United-States"," <=50K"
"31070",26," Private",226196," HS-grad",9," Never-married"," Transport-moving"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"26295",27," Private",134566," HS-grad",9," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"25743",40," Private",53835," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," United-States"," >50K"
"23673",41," Private",214242," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,1887,40," United-States"," >50K"
"3485",42," Private",217826," HS-grad",9," Never-married"," Craft-repair"," Own-child"," Black"," Male",0,0,40," ?"," <=50K"
"26075",47," Self-emp-inc",120131," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," Cuba"," >50K"
"25293",37," Self-emp-not-inc",149230," Assoc-voc",11," Never-married"," Other-service"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
"30811",28," Private",131298," HS-grad",9," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,60," United-States"," <=50K"
"1502",49," Private",50282," Some-college",10," Divorced"," Machine-op-inspct"," Not-in-family"," White"," Male",3325,0,45," United-States"," <=50K"
"23207",25," Private",32276," HS-grad",9," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,28," United-States"," <=50K"
"13030",30," Private",381153," HS-grad",9," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"18089",47," Private",111961," HS-grad",9," Married-civ-spouse"," Other-service"," Wife"," Black"," Female",0,0,30," United-States"," <=50K"
"25813",64," Private",169482," Some-college",10," Married-spouse-absent"," Exec-managerial"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
"421",20," Private",61777," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,30," United-States"," <=50K"
"358",40," Private",96129," Assoc-voc",11," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"30959",18," Private",205218," 11th",7," Never-married"," Sales"," Own-child"," White"," Female",0,0,20," United-States"," <=50K"
"23789",21," Private",238917," 5th-6th",3," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," Mexico"," <=50K"
"9776",22," Private",416165," Some-college",10," Never-married"," Sales"," Unmarried"," White"," Female",0,0,32," United-States"," <=50K"
"25226",61," ?",124648," 10th",6," Divorced"," ?"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
"30793",42," Private",33126," Assoc-acdm",12," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,60," United-States"," >50K"
"6237",32," Private",116539," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1887,55," United-States"," >50K"
"32368",90," Local-gov",214594," 7th-8th",4," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",2653,0,40," United-States"," <=50K"
"13592",38," Private",181943," Bachelors",13," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
"29137",50," Federal-gov",343014," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"
"30688",63," ?",331527," 10th",6," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"14173",38," Private",58108," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States"," >50K"
"32394",43," Private",191712," Bachelors",13," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",0,1741,40," United-States"," <=50K"
"21600",53," Self-emp-inc",100029," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"17287",59," Self-emp-inc",31359," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,80," United-States"," >50K"
"18159",26," Private",40915," Bachelors",13," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,25," United-States"," <=50K"
"13466",29," Private",116662," Bachelors",13," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"31582",27," Private",278720," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,45," United-States"," >50K"
"32405",35," Private",379959," HS-grad",9," Divorced"," Other-service"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
"14038",24," Private",353010," Bachelors",13," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",0,0,10," United-States"," <=50K"
"29703",33," Private",141490," HS-grad",9," Married-civ-spouse"," Sales"," Wife"," White"," Female",0,0,45," United-States"," <=50K"
"26219",38," Private",245090," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," Nicaragua"," <=50K"
"6917",38," Private",229180," Bachelors",13," Never-married"," Exec-managerial"," Unmarried"," White"," Female",0,0,40," Cuba"," <=50K"
"13046",23," Private",24395," HS-grad",9," Never-married"," Handlers-cleaners"," Own-child"," White"," Female",0,0,30," United-States"," <=50K"
"13039",58," Private",214502," 9th",5," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,50," United-States"," >50K"
"646",50," Self-emp-inc",195322," Doctorate",16," Separated"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," >50K"
"11811",33," Private",207937," HS-grad",9," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,1092,40," United-States"," <=50K"
"13111",22," ?",195143," Some-college",10," Never-married"," ?"," Own-child"," White"," Female",0,0,29," United-States"," <=50K"
"5943",26," Private",213799," 10th",6," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"21895",31," Private",144949," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"420",34," State-gov",240283," HS-grad",9," Divorced"," Transport-moving"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
"32238",34," Private",90415," Assoc-voc",11," Never-married"," Tech-support"," Not-in-family"," Black"," Male",0,0,40," United-States"," <=50K"
"13431",49," Private",33673," 12th",8," Never-married"," Transport-moving"," Not-in-family"," Asian-Pac-Islander"," Male",0,0,35," United-States"," <=50K"
"31039",33," Private",202642," Bachelors",13," Separated"," Prof-specialty"," Other-relative"," Black"," Female",0,0,40," Jamaica"," <=50K"
"433",40," Self-emp-not-inc",204116," Bachelors",13," Married-spouse-absent"," Prof-specialty"," Not-in-family"," White"," Female",2174,0,40," United-States"," <=50K"
"1407",30," Private",30226," 11th",7," Divorced"," Sales"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"12986",33," Private",119409," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Wife"," Other"," Female",0,0,40," Columbia"," <=50K"
"19981",22," Private",216867," 5th-6th",3," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,48," Mexico"," <=50K"
"6821",17," Private",130795," 10th",6," Never-married"," Other-service"," Own-child"," White"," Male",0,0,20," United-States"," <=50K"
"25863",48," Self-emp-not-inc",353012," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,1902,40," United-States"," >50K"
"21559",19," Federal-gov",215891," Some-college",10," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,10," United-States"," <=50K"
"27899",39," ?",204756," Some-college",10," Divorced"," ?"," Not-in-family"," White"," Female",0,0,20," United-States"," <=50K"
"12854",37," ?",148266," Prof-school",15," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,6," Mexico"," <=50K"
"12753",42," Private",144778," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
"7757",31," Private",120672," 11th",7," Divorced"," Handlers-cleaners"," Other-relative"," Black"," Male",0,1721,40," United-States"," <=50K"
"11597",52," Federal-gov",221532," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,45," United-States"," >50K"
"7195",37," Local-gov",218184," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,1887,40," United-States"," >50K"
"28902",59," Private",279636," HS-grad",9," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",0,0,50," Guatemala"," <=50K"
"14778",27," Private",267989," Some-college",10," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"1479",17," Private",197850," 11th",7," Never-married"," Adm-clerical"," Own-child"," Asian-Pac-Islander"," Female",0,0,24," United-States"," <=50K"
"23995",43," Private",184321," 10th",6," Married-civ-spouse"," Machine-op-inspct"," Husband"," Black"," Male",0,1887,40," United-States"," >50K"
"10271",38," Private",179579," HS-grad",9," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"32023",38," Private",33397," HS-grad",9," Divorced"," Sales"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
"20978",28," Private",148645," HS-grad",9," Never-married"," Machine-op-inspct"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
"8602",31," Self-emp-not-inc",175856," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,60," United-States"," <=50K"
"1640",54," Private",206369," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",5178,0,50," United-States"," >50K"
"13205",43," Private",115562," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,42," United-States"," >50K"
"18922",39," Private",319248," 10th",6," Never-married"," Other-service"," Unmarried"," White"," Female",0,0,25," Mexico"," <=50K"
"30270",29," Private",105694," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,42," United-States"," <=50K"
"30075",30," Federal-gov",48458," Some-college",10," Never-married"," Adm-clerical"," Own-child"," Black"," Female",0,0,40," United-States"," <=50K"
"2744",30," State-gov",199539," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,1902,40," United-States"," <=50K"
"15455",36," Private",162302," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
"12270",38," Private",259019," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,44," United-States"," <=50K"
"12104",54," Local-gov",365049," Some-college",10," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," Mexico"," <=50K"
"9876",31," Local-gov",331126," Bachelors",13," Never-married"," Protective-serv"," Own-child"," Black"," Male",0,0,48," United-States"," <=50K"
"21164",42," Private",369131," Assoc-acdm",12," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,55," United-States"," >50K"
"8825",58," Private",372181," HS-grad",9," Divorced"," Sales"," Unmarried"," White"," Female",0,0,40," United-States"," >50K"
"12095",39," Private",187089," Some-college",10," Divorced"," Sales"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
"30698",24," Private",241752," HS-grad",9," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"24553",51," Local-gov",143865," 10th",6," Widowed"," Other-service"," Not-in-family"," White"," Female",0,0,24," United-States"," <=50K"
"9685",60," Local-gov",113658," Some-college",10," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,35," United-States"," <=50K"
"25330",28," Private",300915," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,60," United-States"," <=50K"
"6848",48," Private",199763," HS-grad",9," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,8," United-States"," <=50K"
"15532",47," Private",265275," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"5176",42," Self-emp-not-inc",99185," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"3709",36," Private",160120," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," Asian-Pac-Islander"," Male",0,0,40," Vietnam"," <=50K"
"27821",71," Private",99894," 5th-6th",3," Widowed"," Priv-house-serv"," Not-in-family"," Asian-Pac-Islander"," Female",0,0,75," United-States"," <=50K"
"2905",31," Private",59083," Some-college",10," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,1672,50," United-States"," <=50K"
"26810",36," Local-gov",110791," Assoc-acdm",12," Separated"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
"8572",42," Private",113770," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,40," United-States"," <=50K"
"846",43," Private",102895," Some-college",10," Divorced"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"24401",44," Private",104196," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,45," United-States"," >50K"
"11115",55," Self-emp-not-inc",35340," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
"31211",35," Private",175232," HS-grad",9," Divorced"," Handlers-cleaners"," Other-relative"," White"," Male",0,0,40," United-States"," <=50K"
"23119",21," State-gov",145651," Some-college",10," Never-married"," Sales"," Own-child"," Black"," Female",0,1602,12," United-States"," <=50K"
"918",67," Self-emp-inc",76860," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",0,0,40," United-States"," >50K"
"13443",20," Private",131611," Some-college",10," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,48," United-States"," <=50K"
"7952",58," Private",366324," Some-college",10," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,30," United-States"," <=50K"
"15430",36," Private",149833," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,40," United-States"," <=50K"
"20242",65," State-gov",215908," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,2174,40," United-States"," >50K"
"2592",33," Private",180656," Some-college",10," Married-spouse-absent"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," ?"," <=50K"
"5591",78," ?",363134," HS-grad",9," Widowed"," ?"," Not-in-family"," White"," Female",0,0,1," United-States"," <=50K"
"3237",41," Private",149102," HS-grad",9," Married-spouse-absent"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," Poland"," <=50K"
"25166",25," Private",233461," Assoc-acdm",12," Never-married"," Tech-support"," Not-in-family"," White"," Male",0,0,30," United-States"," <=50K"
"19438",44," Private",203761," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,45," United-States"," >50K"
"19532",39," Self-emp-inc",135500," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1977,40," United-States"," >50K"
"12108",32," Federal-gov",504951," Assoc-acdm",12," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
"13389",26," Local-gov",211497," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"10798",40," Private",124915," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"24578",45," Private",473171," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"27469",48," Private",118023," Prof-school",15," Divorced"," Sales"," Not-in-family"," White"," Male",0,0,13," United-States"," <=50K"
"20165",53," Private",375134," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," United-States"," >50K"
"18360",29," Private",206351," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"10152",52," Local-gov",137753," HS-grad",9," Married-civ-spouse"," Other-service"," Wife"," Black"," Female",0,0,20," United-States"," <=50K"
"2344",21," Private",191460," 11th",7," Never-married"," Other-service"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
"18313",37," Private",50837," 7th-8th",4," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
"5523",27," Private",29261," Assoc-acdm",12," Never-married"," Craft-repair"," Unmarried"," White"," Male",0,0,40," United-States"," <=50K"
"22955",34," Private",351810," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,45," Cuba"," <=50K"
"9099",25," Private",234263," Bachelors",13," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"19790",32," Self-emp-not-inc",37232," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",7688,0,45," United-States"," >50K"
"3865",50," State-gov",229272," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",0,0,40," United-States"," >50K"
"7903",35," Private",359131," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",7298,0,8," ?"," >50K"
"25404",42," Private",195508," 11th",7," Married-civ-spouse"," Transport-moving"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"
"24883",39," Private",139647," Some-college",10," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,56," United-States"," <=50K"
"1419",31," Private",127610," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,40," United-States"," >50K"
"27103",55," Self-emp-not-inc",422249," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
"32508",50," Private",302372," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"18846",22," Private",228465," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"
"14535",21," ?",247075," HS-grad",9," Never-married"," ?"," Unmarried"," Black"," Female",0,0,25," United-States"," <=50K"
"17249",65," Private",101104," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",9386,0,10," United-States"," >50K"
"22606",42," State-gov",136996," Some-college",10," Married-civ-spouse"," Protective-serv"," Husband"," Black"," Male",0,0,48," United-States"," <=50K"
"14542",20," ?",43587," HS-grad",9," Married-spouse-absent"," ?"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
"30596",43," Private",342567," Bachelors",13," Married-spouse-absent"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
"30473",40," Private",176286," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"32502",71," Private",138145," 9th",5," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"18841",38," Private",161141," Some-college",10," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,45," United-States"," <=50K"
"10691",44," Private",190532," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,55," United-States"," <=50K"
"13526",19," ?",112780," Some-college",10," Never-married"," ?"," Own-child"," White"," Female",0,0,30," United-States"," <=50K"
"7090",53," Private",182186," 9th",5," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," Dominican-Republic"," <=50K"
